Description,Sip Property,units,type,valid range,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11
Chemical name,chemical_name,--,string,--,Atrazine,Chlorothalonil,Chlorpyriphos,Diazinon,Endosulfan a,Endosulfan b,EPTC,Ethoprop,Malathion,Methamidiphos,Methyl Parathion
Chemical PC Code,pc_code,--,string,--,80803,81901,59101,57801,79401,79401,41401,41101,57701,101201,53501
Solubility in water at 25 C,solubility,mg/L,float,"[0,inf)",35,0.81,1.05,60,0.32,0.32,370,1300,148,200000,55
Mammalian LD50 water (mg/kg-bw),ld50_mammal_water,mg/kg-bw,float,"[0,inf)",1869,5000,64,1139,38,38,916,32.9,1778,30,3
Body weight (g) of mammalian species,bodyweight_tested_mammal,g,float,"[0,inf)",350,350,350,350,350,350,350,350,350,350,350
Mammalian NOAEL (mg/kg-bw),noael_mammal_water,mg/kg-diet,float,"[0,inf)",10,3,1,5,0.75,0.75,16.3,0.1,34.4,0.1,0.1
Body weight (g) of mammalian species (NOAEL),noael_bodyweight_tested_mammal,g,float,"[0,inf)",350,350,350,350,350,350,350,350,350,350,350
Avian LD50 (mg/kg-bw),ld50_avian_water,mg/kg-bw,float,"[0,inf)",4237,2000,13.3,1.44,111,111,1000,6.04,359,10,1044
Body weight (g) of avian species,bodyweight_tested_bird,g,float,"[0,inf)",178,1580,178,1580,178,178,178,1580,178,1580,178
Mineau scaling factor,mineau_scaling_factor,unitless,float,"(1,inf)",1.15,2,2,1.15,1.15,1.15,2,1.15,1.15,2,2
Mallard duck NOAEC (mg/kg-diet),noaec_duck,mg/kg-diet,float,"[0,inf)",225,10000,25,8.3,30,30,242,40,1200,15,14.7
Northern bobwhite quail NOAEC (mg/kg-diet),noaec_quail,mg/kg-diet,float,"[0,inf)",225,153,25,32,64,64,591,0.952,110,3,6.27
NOAEC (mg/kg-diet) for other bird species,noaec_bird_other_1,mg/kg-diet,float,"[0,inf)",,,,,,,,,,,
Body weight (g) of other avian species,bodyweight_bird_other_1,g,float,"[0,inf)",,,,,,,,,,,
NOAEC (mg/kg-diet) for 2nd other bird species,noaec_bird_other_2,mg/kg-diet,float,"[0,inf)",,,,,,,,,,,
Body weight (g) of 2nd other avian species,bodyweight_bird_other_2,g,float,"[0,inf)",,,,,,,,,,,
,fw_bird_out,L,float,"[0,inf)",,,,,,,,,,,
,fw_mamm_out,L,float,"[0,inf)",,,,,,,,,,,
,dose_bird_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,dose_mamm_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,at_bird_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,at_mamm_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,det_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,act_out,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,acute_bird_out,unitless,float,--,,,,,,,,,,,
,acuconb_out,--,string,--,,,,,,,,,,,
,acute_mamm_out,unitless,float,--,,,,,,,,,,,
,acuconm_out,--,string,--,,,,,,,,,,,
,chron_bird_out,unitless,float,--,,,,,,,,,,,
,chronconb_out,--,string,--,,,,,,,,,,,
,chron_mamm_out,unitless,float,--,,,,,,,,,,,
,chronconm_out,--,string,--,,,,,,,,,,,
,fw_bird_exp,L,float,"[0,inf)",,,,,,,,,,,
,fw_mamm_exp,L,float,"[0,inf)",,,,,,,,,,,
,dose_bird_exp,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,dose_mamm_exp,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,at_bird_exp,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,at_mamm_exp,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,det_exp,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,act_exp,mg/kg-bw,float,"[0,inf)",,,,,,,,,,,
,acute_bird_exp,unitless,float,--,,,,,,,,,,,
,acuconb_exp,--,string,--,,,,,,,,,,,
,acute_mamm_exp,unitless,float,--,,,,,,,,,,,
,acuconm_exp,--,string,--,,,,,,,,,,,
,chron_bird_exp,unitless,float,--,,,,,,,,,,,
,chronconb_exp,--,string,--,,,,,,,,,,,
,chron_mamm_exp,unitless,float,--,,,,,,,,,,,
,chronconm_exp,--,string,--,,,,,,,,,,,
